Type,Ref,Slope
Multicellular,DeLong et al. (2014),-0.43
Multicellular,DeLong et al. (2014),-0.43
Multicellular,DeLong et al. (2014),-3.05
Multicellular,DeLong et al. (2014),-0.4
Multicellular,DeLong et al. (2014),-0.81
Multicellular,DeLong et al. (2014),-0.49
Multicellular,DeLong et al. (2014),0.09
Multicellular,DeLong et al. (2014),-0.99
Multicellular,DeLong et al. (2014),-0.95
Multicellular,Ghedini et al. (2017),-0.013
Spermatozoa,This study,-0.18
Unicellular,DeLong et al. (2014),-0.94
Unicellular,DeLong et al. (2014),-0.93
Unicellular,DeLong et al. (2014),-0.91
Unicellular,DeLong et al. (2014),-0.8
Unicellular,DeLong et al. (2014),-0.77
Unicellular,DeLong et al. (2014),-1.05
Unicellular,Marshall et al. (2022),-0.45
Unicellular,Malerba et al. (2017),-0.009